id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
11740861,2018-04-29 9:58:38 AM EDT,2018-04-29,2018-04-29 13:58:38 UTC,Eastern Time (US & Canada),894599,sweetbriarocto,2018-04-29 13:59:44 UTC,2018-06-18 23:46:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11740861,https://inaturalist-open-data.s3.amazonaws.com/photos/16789964/medium.jpeg?1525010387,,,,2,0,FALSE,2,"Virginia, US",39.0787728973,-77.5236318203,7,28151,obscured,,TRUE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
12023243,2018/04/27 9:28 PM EDT,2018-04-27,2018-04-28 01:28:00 UTC,Eastern Time (US & Canada),931944,dsmom,2018-05-02 01:37:57 UTC,2018-06-18 23:50:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12023243,https://inaturalist-open-data.s3.amazonaws.com/photos/17232075/medium.jpg?1525224983,,,"saw when walking our dog, 15 minutes later in a different area saw another fox, unsure if the same one as it was going too fast to capture a photo.",2,0,FALSE,,"Leesburg, VA, USA",39.1266086202,-77.5254971878,144,144,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
13404169,2018-06-12 3:53:25 PM EDT,2018-06-12,2018-06-12 19:53:25 UTC,Eastern Time (US & Canada),806618,siardica,2018-06-13 20:57:09 UTC,2019-07-14 23:56:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/13404169,https://inaturalist-open-data.s3.amazonaws.com/photos/19662065/medium.jpeg?1528923495,,,,3,0,FALSE,2,"basque court, leesburg va 20175",39.136555,-77.618037,265,265,,open,FALSE,gps,google,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
14216373,Mon Apr 30 2018 13:22:06 GMT-0400 (EDT),2018-04-30,2018-04-30 17:22:06 UTC,Eastern Time (US & Canada),1077701,kelleylane1981,2018-07-10 00:55:02 UTC,2018-07-26 02:21:09 UTC,research,,https://www.inaturalist.org/observations/14216373,https://static.inaturalist.org/photos/21089536/medium.jpg?1531184104,,,,3,0,FALSE,3,"19601–19733 Janelia Farm Blvd, Leesburg, VA, US",39.0720111667,-77.469825,100,100,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
18932339,2018/12/02 3:42 PM EST,2018-12-02,2018-12-02 20:42:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2018-12-10 02:45:14 UTC,2019-01-15 00:46:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18932339,https://inaturalist-open-data.s3.amazonaws.com/photos/29021956/medium.jpg?1544409972,,,,3,0,FALSE,,"Loudoun County, VA, USA",38.9976117425,-77.5580802566,5743,5743,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
18932387,2018/12/03 2:07 PM EST,2018-12-03,2018-12-03 19:07:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2018-12-10 02:48:35 UTC,2019-01-15 00:46:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18932387,https://inaturalist-open-data.s3.amazonaws.com/photos/29021994/medium.jpg?1544410084,,,,3,0,FALSE,,"Loudoun County, VA, USA",38.9990125384,-77.5588527328,5743,5743,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
19241546,2018/12/26 3:05 PM EST,2018-12-26,2018-12-26 20:05:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2018-12-27 01:49:01 UTC,2020-01-21 00:52:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19241546,https://inaturalist-open-data.s3.amazonaws.com/photos/29561869/medium.jpg?1545875285,,,,2,0,FALSE,,"Loudoun County, VA, USA",38.99958,-77.558466,,,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
20567151,2019/02/16 5:26 PM EST,2019-02-16,2019-02-16 22:26:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2019-02-23 00:34:03 UTC,2019-02-28 19:41:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20567151,https://inaturalist-open-data.s3.amazonaws.com/photos/31752084/medium.jpg?1550882004,,,,2,0,FALSE,,"Loudoun County, VA, USA",38.9984455529,-77.5586810714,5743,5743,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
25674784,2019/05/14 8:19 PM UTC,2019-05-14,,UTC,1557462,rossiscience,2019-05-24 14:37:24 UTC,2019-06-26 11:50:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25674784,https://inaturalist-open-data.s3.amazonaws.com/photos/39793941/medium.jpg?1558708586,,,Red fox behind Farmwell school,2,0,FALSE,,"Ashburn, VA, USA",39.0339638889,-77.4707333333,,,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
25687630,2019-05-14 8:19:22 PM EDT,2019-05-14,2019-05-15 00:19:22 UTC,Eastern Time (US & Canada),759155,sarahld,2019-05-24 18:45:50 UTC,2020-11-07 15:26:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25687630,https://inaturalist-open-data.s3.amazonaws.com/photos/39813970/medium.jpeg?1558723553,,,,3,0,FALSE,2,"44231 Cessna Ln, Ashburn, VA 20147, USA",39.0339622498,-77.4707336426,,,,open,FALSE,gps,gps,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
